Date,Open,High,Low,Close,Vol
11/2/2015,241.45,243.3,235.55,239.25,113314
11/3/2015,241.8,248.60001,238.8,241.75,180411
11/4/2015,242.55,246.2,237.64999,239,120163
11/5/2015,239.8,242.35001,234.5,239.39999,119963
11/6/2015,239,242.8,238.10001,240,91391
11/9/2015,235,240.85001,229.8,237.39999,79901
11/10/2015,237,245,235.10001,238.2,97142
11/11/2015,245.3,254.89999,245.3,250.5,133779
11/13/2015,249,249.95,243,247.75,119022
11/16/2015,255,259,250.35001,252.7,336938
11/17/2015,254.10001,254.8,245.5,246.85001,122081
11/18/2015,247.95,249.14999,241.25,243.5,86970
11/19/2015,242.5,274.39999,242,267.39999,1184416
11/20/2015,267.39999,270,255.10001,256.14999,305962
11/23/2015,258,269.45001,255.14999,267.04999,318624
11/24/2015,268.95001,268.95001,262.04999,262.70001,74898
11/26/2015,263.39999,274.79999,262,263.75,268632
11/27/2015,264.5,265.5,256.5,258.79999,120283
11/30/2015,260.89999,263.39999,256.75,257.60001,143515
12/1/2015,259.39999,263.10001,254.2,255.10001,91799
12/2/2015,262,280.85001,262,274.89999,1296398
12/3/2015,273.89999,281.95001,262,274.79999,515406
12/4/2015,272.45001,301.5,271,292.60001,1314181
12/7/2015,295.39999,309.85001,286.20001,300.25,805247
12/8/2015,298,301.89999,281.5,284.70001,235564
12/9/2015,285.45001,293.35001,273,277.20001,339110
12/10/2015,278,284.45001,275,279,197502
12/11/2015,281.29999,288.70001,277.10001,281.60001,201623
12/14/2015,279,287.79999,275,281.64999,151893
12/15/2015,283.75,300.89999,283.45001,293.25,404423
12/16/2015,295.70001,306,287.10001,291.60001,463035
12/17/2015,294.35001,304.70001,293.54999,299.14999,411220
12/18/2015,298,316.5,293.5,312.45001,679368
12/21/2015,313,319.5,307.60001,312.89999,453974
12/22/2015,314.95001,315.25,307,310.60001,135917
12/23/2015,311.10001,320.89999,310.39999,311.70001,292717
12/24/2015,313.10001,317.70001,306.64999,314,193980
12/28/2015,314,324.5,314,321.75,325373
12/29/2015,321.20001,332,318.60001,325.35001,381247
12/30/2015,326.95001,341.79999,323,336.45001,388871
12/31/2015,335.70001,342,334,336,317148
1/1/2016,336,343.89999,330.04999,337.29999,202672
1/4/2016,336.29999,336.29999,326.54999,329.25,122092
1/5/2016,329.25,334.75,323.45001,330.04999,126122
1/6/2016,332.60001,334.5,320,326.5,156160
1/7/2016,324.70001,328.79999,319.95001,324.29999,250319
1/8/2016,324.29999,337.79999,324.29999,331.45001,86773
1/11/2016,330.20001,348,321.54999,340.35001,387208
1/12/2016,341.39999,346,330,332.14999,179578
1/13/2016,337.5,341,291.95001,318.89999,376432
1/14/2016,316.75,324.29999,304,318.20001,148966
1/15/2016,314.25,322.79999,298.79999,301.39999,136693
1/18/2016,292.04999,300,274.10001,278.89999,258731
1/19/2016,280,288.35001,264.95001,281.14999,204391
1/20/2016,282.79999,283,265.20001,274,114442
1/21/2016,280,283.89999,266,271.79999,108125
1/22/2016,277.5,293,273.04999,288.60001,187744
1/25/2016,293.79999,296,288,291.45001,68773
1/27/2016,296,296,286,288,50448
1/28/2016,286.95001,292.64999,285.04999,286.64999,59055
1/29/2016,287.5,292.79999,282.04999,289.25,59619
2/1/2016,291,303.79999,291,301.85001,105928
2/2/2016,302,311.39999,286.04999,291.54999,141671
2/3/2016,285,289.5,280,281.79999,66830
2/4/2016,289,291.95001,280.60001,286.70001,153094
2/5/2016,285.10001,291,280.14999,288.10001,129733
2/8/2016,290.64999,294,284.60001,290.39999,136326
2/9/2016,298.95001,315.89999,293.39999,311.29999,847882
2/10/2016,309,317.70001,296.64999,301.75,390318
2/11/2016,302.25,304.5,276.14999,279.95001,187703
2/12/2016,281.70001,291,270.10001,283.64999,219192
2/15/2016,289,310.39999,287.10001,306.60001,214012
2/16/2016,312,312.04999,290.64999,292,134311
2/17/2016,290.5,339.85001,280.04999,328.95001,528523
2/18/2016,335,350,323.60001,333.25,721006
2/19/2016,330,334.70001,319,324.04999,200885
2/22/2016,324,327,312.14999,314.04999,123402
2/23/2016,313.54999,329,311,314.29999,334602
2/24/2016,312,316.39999,302.25,304.25,153753
2/25/2016,305,310.79999,297.60001,300.10001,84717
2/26/2016,307,307.29999,293.04999,298.20001,132920
2/29/2016,300.04999,303,286.29999,295.60001,108628
3/1/2016,294.04999,311.95001,294.04999,307.14999,167653
3/2/2016,314,319.5,309.5,312.54999,123192
3/3/2016,314,317.79999,307.79999,309.04999,81716
3/4/2016,311.5,316.64999,306.25,309.14999,104037
3/8/2016,308,309.29999,296.20001,299.10001,165110
3/9/2016,300.60001,302.10001,293,299.60001,225577
3/10/2016,302,309.70001,297.20001,303.25,215199
3/11/2016,303.45001,307.70001,297.10001,298.95001,78354
3/14/2016,300,305.89999,297.79999,299.5,88922
3/15/2016,299.5,307.39999,297.54999,300,161847
3/16/2016,302.89999,304,298,298.89999,91201
3/17/2016,301,304.54999,290.54999,292.60001,106545
3/18/2016,293.5,304,293.14999,294.39999,138945
3/21/2016,295.04999,299.79999,293.45001,296.10001,106122
3/22/2016,295.75,303,294.45001,299.45001,118683
3/23/2016,298.29999,314,297.20001,312.04999,359863
3/28/2016,312.95001,318.79999,302.64999,305.70001,175568
3/29/2016,307.85001,310.95001,300,303.14999,115016
3/30/2016,305.45001,315,305.45001,312.70001,124210
3/31/2016,312.04999,315.89999,308.64999,309.89999,109569
4/1/2016,311.39999,314,307.35001,312.25,55392
4/4/2016,313.85001,328.89999,311.10001,321.04999,210186
4/5/2016,319,321.60001,307.95001,309.54999,97796
4/6/2016,309,315.5,309,312.29999,59406
4/7/2016,312,317.79999,303.10001,306.60001,94399
4/8/2016,308.79999,314.5,307.10001,308.79999,79149
4/11/2016,309.10001,317.60001,307.35001,313.45001,153652
4/12/2016,310.5,321,310.5,312.79999,74347
4/13/2016,315,318.5,311,312.60001,78098
4/18/2016,311,318.20001,310.39999,314.35001,52099
4/20/2016,314.25,327.75,310.20001,326.39999,271680
4/21/2016,326.39999,335.70001,321.5,323.25,201972
4/22/2016,322.39999,323.70001,316.20001,317.95001,53017
4/25/2016,318.20001,322,315.39999,317,42842
4/26/2016,317.20001,320.20001,315,317.60001,50400
4/27/2016,319,324.5,316.39999,320.79999,77132
4/28/2016,322,328.25,317.04999,319.54999,119804
4/29/2016,320.75,323,312.25,318.39999,56114
5/2/2016,315,318.54999,311.14999,312.60001,38558
5/3/2016,313,321.10001,311.04999,316.54999,132755
5/4/2016,315,319.54999,313.64999,315.54999,72127
5/5/2016,311.04999,323.39999,311.04999,320.89999,127459
5/6/2016,321,322.79999,316.70001,320.29999,27049
5/9/2016,323.29999,323.29999,314.75,317.45001,34633
5/10/2016,315.20001,321.5,315.20001,316.64999,40312
5/11/2016,313.79999,326.45001,311,322.5,115558
5/12/2016,324.60001,329,323,325.85001,53299
5/13/2016,323.25,338.60001,316.79999,326.04999,221433
5/16/2016,326.5,336.5,324.75,334.85001,62421
5/17/2016,333.54999,336.54999,325.29999,327.25,41310
5/18/2016,324.85001,329.64999,323.5,326.39999,26889
5/19/2016,325,329.39999,315,317.35001,44483
5/20/2016,315.10001,324.20001,314.89999,321.70001,58393
5/23/2016,322.25,324.10001,317.10001,320.75,56288
5/24/2016,322.45001,331.79999,317,322.39999,126465
5/25/2016,325,335,325,332,144687
5/26/2016,329.5,329.5,287.70001,308.64999,973065
5/27/2016,310,314.54999,305.64999,310.04999,167153
5/30/2016,310.5,312.5,304,306.75,119596
5/31/2016,309.89999,309.89999,299.29999,302,54675
6/1/2016,302.85001,304,297.20001,298.10001,74813
6/2/2016,299.95001,300,291.25,294,87835
6/3/2016,296,299.35001,289,290.14999,116547
6/6/2016,290.14999,293.79999,289.04999,291.14999,88842
6/7/2016,291,296,290.25,294.85001,62208
6/8/2016,292,304,291.89999,300.10001,168597
6/9/2016,300.10001,303.89999,298,301.95001,70794
6/10/2016,302,308,291.60001,294.04999,137707
6/13/2016,292.95001,298.39999,290,292.60001,87224
6/14/2016,293.45001,296.04999,290.5,291.95001,45351
6/15/2016,292.10001,298.5,292.10001,294.04999,64767
6/16/2016,292,294.75,289,290.35001,55592
6/17/2016,290.5,293.45001,281.5,282.60001,102985
6/20/2016,280,290,279.75,286.85001,78834
6/21/2016,286.29999,289.60001,280.39999,287.45001,92842
6/22/2016,288.5,294.89999,288.5,292.25,127696
6/23/2016,293,296,288.5,290.35001,57108
6/24/2016,281.04999,299.75,266.60001,295.35001,99412
6/27/2016,293,296,288.39999,293.20001,78584
6/28/2016,293.39999,298.5,291,295.64999,77427
6/29/2016,295,302.79999,294.89999,296.75,98187
6/30/2016,297.25,302.39999,291,294.85001,447239
7/1/2016,294.89999,298.89999,294,296.70001,60122
7/4/2016,296.79999,306,295,300.89999,146809
7/5/2016,301,304.5,295.25,296.5,64281
7/7/2016,296.54999,302.95001,296.54999,297.70001,72177
7/8/2016,299,301.54999,296,296.20001,42066
7/11/2016,296.79999,299.79999,291.04999,293.20001,60233
7/12/2016,293.89999,295.79999,291.10001,291.85001,68113
7/13/2016,293,294.75,289,289.14999,44609
7/14/2016,289.5,293.70001,289,290.39999,50329
7/15/2016,288.5,290.70001,285.95001,288.29999,36488
7/18/2016,288.45001,289.39999,282.25,285.89999,104792
7/19/2016,286,288.64999,283,284.85001,45184
7/20/2016,285,288.64999,283,287.35001,33373
7/21/2016,285,299,285,295.64999,97893
7/22/2016,296,299.95001,296,296.5,62919
7/25/2016,296,303,293.5,299.25,42782
7/26/2016,296.20001,300.60001,296,297.39999,27213
7/27/2016,295.79999,309,295.79999,306.85001,154662
7/28/2016,306.29999,310.39999,297.75,303,94246
7/29/2016,302,304,296.70001,298.5,56374
8/1/2016,300.79999,300.79999,291.75,293.25,64555
8/2/2016,292.45001,296.89999,290,294.64999,52594
8/3/2016,294.29999,297.5,291.5,295.25,29698
8/4/2016,295.60001,303.79999,295.35001,297.70001,52060
8/5/2016,298.29999,303.79999,297.64999,301.70001,49782
8/8/2016,301.95001,303.10001,295.85001,297.25,45984
8/9/2016,295,299,292.10001,292.85001,28342
8/10/2016,293.5,294.39999,290,290.35001,19405
8/11/2016,290,305,286.95001,292.14999,39832
8/12/2016,292.95001,297,284.89999,293.04999,52413
8/16/2016,294,295.29999,287.95001,290.14999,53013
8/17/2016,290.75,312,289.54999,304.45001,130000
8/18/2016,305,305.95001,298.85001,302.79999,48651
8/19/2016,300,307.70001,298,299.64999,57451
8/22/2016,299.79999,302,297,297.64999,16308
8/23/2016,295,298.10001,292.85001,295.89999,28538
8/24/2016,294,304.79999,294,302.10001,59364
8/25/2016,319.89999,320,297,298.89999,125485
8/26/2016,300.04999,306,298.29999,302.95001,72404
8/29/2016,302,308.10001,298.35001,300.10001,46431
8/30/2016,300.54999,311,300.54999,306.25,104163
8/31/2016,306.5,311,306,307.95001,76478
9/1/2016,308.04999,309.70001,301.25,304.95001,103249
9/2/2016,306.79999,310.5,299.45001,302.70001,99929
9/6/2016,303,306.79999,300,305.25,106119
9/7/2016,306.64999,307,299,300,58547
9/8/2016,299.10001,327,299.10001,315,1134535
9/9/2016,316.89999,319.39999,305,305.39999,111591
9/12/2016,300,302,294,298.10001,66008
9/14/2016,296,303.64999,296,298.25,61854
9/15/2016,300,314.79999,297.95001,306.5,178646
9/16/2016,306.5,313.89999,298,302.29999,142466
9/19/2016,315,321,310,313.60001,376512
9/20/2016,314.79999,321,312.79999,318.29999,183662
9/21/2016,320,320.5,308.79999,312.25,92147
9/22/2016,317.04999,317.04999,312.14999,313.04999,59458
9/23/2016,316,319.39999,310.35001,312.45001,75027
9/26/2016,312.20001,312.20001,305,305.54999,54461
9/27/2016,308,310,302.5,304.54999,41483
9/28/2016,306.04999,310,301.20001,302.45001,105445
9/29/2016,306.60001,308,292.5,297.25,128164
9/30/2016,291,313.85001,291,305.95001,80218
10/3/2016,306,316,304.04999,309,106008
10/4/2016,308.60001,312.35001,307,309.64999,45727
10/5/2016,309.70001,312,306.70001,310.89999,40147
10/6/2016,311.64999,328.95001,311.64999,324.29999,419369
10/7/2016,326,339.75,320.45001,337.85001,400676
10/10/2016,338,338.79999,327.5,331.20001,79614
10/13/2016,327.79999,330,318.10001,325.25,85980
10/14/2016,327.75,335,326.10001,328.10001,56136
10/17/2016,328,330.54999,320,322.64999,48852
10/18/2016,321.5,332.25,321.5,330.14999,69346
10/19/2016,331.70001,337.5,326.5,334.89999,148327
10/20/2016,337.60001,343,332.39999,335.89999,168346
10/21/2016,336.5,338.89999,330,331.39999,47723
10/24/2016,326,342.85001,326,339.04999,92025
10/25/2016,340,349.89999,332.39999,335.5,201298
10/26/2016,335.5,338.45001,330,331.60001,33910
10/27/2016,329.29999,337.70001,329.29999,332.60001,38189
10/28/2016,332,337.89999,331,333.85001,37372
11/1/2016,336,343,332,340.7,87346
